tau,status,test_accuracy,test_f1,test_precision,test_recall,elapsed_time
0.00,success,0.8817,0.8791,0.9091,0.8511,25.6
0.20,success,0.9032,0.9159,0.9074,0.9245,17.3
0.30,success,0.8495,0.8793,0.8793,0.8793,16.0
0.40,success,0.9462,0.9618,0.9403,0.9844,19.5
0.50,success,0.8925,0.9206,0.9508,0.8923,22.1
